package	candidate_version	selection_state
libe-book-0.1-1	0.1.3-2+b4	selected
libebml5	1.4.5-1+b1	selected
libebur128-1	1.2.6-1+b2	selected
libecore-audio1	1.28.1-1	selected
libecore-bin	1.28.1-1	selected
libecore-con1t64	1.28.1-1	selected
libecore-drm2-1	1.28.1-1	selected
libecore-evas1	1.28.1-1	selected
libecore-fb1	1.28.1-1	selected
libecore-file1	1.28.1-1	selected
libecore-imf1	1.28.1-1	selected
libecore-input1	1.28.1-1	selected
libecore-ipc1	1.28.1-1	selected
libecore-wl2-1	1.28.1-1	selected
libecore-x1	1.28.1-1	selected
libecore1	1.28.1-1	selected
libector1	1.28.1-1	selected
libedit2	3.1-20250104-1	selected
libedje-bin	1.28.1-1	selected
libedje1	1.28.1-1	selected
libeet1	1.28.1-1	selected
libeeze1	1.28.1-1	selected
libefiboot1t64	38-3.1+b1	selected
libefivar1t64	38-3.1+b1	selected
libefreet-bin	1.28.1-1	selected
libefreet1a	1.28.1-1	selected
libegl-mesa0	25.0.7-2+deb13u1	selected
libegl1	1.7.0-1+b2	selected
libeina1t64	1.28.1-1	selected
libeio1	1.28.1-1	selected
libelementary-data	1.28.1-1	selected
libelementary1	1.28.1-1	selected
libelf1t64	0.192-4	selected
libelput1	1.28.1-1	selected
libembryo-bin	1.28.1-1	selected
libembryo1	1.28.1-1	selected
libemile1	1.28.1-1	selected
libemotion1	1.28.1-1	selected
libeot0	0.01-5+b2	selected
libepubgen-0.1-1	0.1.1-1+b2	selected
liberror-perl	0.17030-1	selected
libethumb-client-bin	1.28.1-1	selected
libethumb-client1	1.28.1-1	selected
libethumb1	1.28.1-1	selected
libetonyek-0.1-1	0.1.12-1	selected
libetpan20t64	1.9.4-6	selected
libevas1	1.28.1-1	selected
libevas1-engines-drm	1.28.1-1	selected
libevas1-engines-wayland	1.28.1-1	selected
libevas1-engines-x	1.28.1-1	selected
libevdev2	1.13.4+dfsg-1	selected
libevent-2.1-7t64	2.1.12-stable-10+b1	selected
libevent-core-2.1-7t64	2.1.12-stable-10+b1	selected
libexempi8	2.6.6-2	selected
libexif12	0.6.25-1+deb13u1	selected
libexiv2-28	0.28.5+dfsg-1	selected
libexiv2-data	0.28.5+dfsg-1	selected
libexo-2-0	4.20.0-1	selected
libexo-common	4.20.0-1	selected
libext2fs2t64	1.47.2-3+b11	selected
libexttextcat-2.0-0	3.4.7-1+b1	selected
libexttextcat-data	3.4.7-1	selected
libfaad2	2.11.2-1	selected
libfdisk1	2.41.5-0+deb13u1	selected
libffado2	2.4.9-2	selected
libfftw3-double3	3.3.10-2+b1	selected
libfftw3-single3	3.3.10-2+b1	selected
libfido2-1	1.15.0-1+b1	selected
libflac14	1.5.0+ds-2	selected
libflite1	2.2-7	selected
libfluidsynth3	2.4.4+dfsg-1+deb13u2	selected
libfm-data	1.4.0-2	selected
libfm-extra4t64	1.4.0-2	selected
libfm-gtk-data	1.4.0-2	selected
libfm-gtk3-4t64	1.4.0-2	selected
libfm4t64	1.4.0-2	selected
libfontembed1t64	1.28.17-6+deb13u1	selected
libfreeaptx0	0.2.2-1	selected
libfreehand-0.1-1	0.1.2-3	selected
libfstrm0	0.6.1-1+b3	selected
libfuse3-4	3.17.2-3	selected
libgail-3-0t64	3.24.49-3	selected
libgav1-1	0.19.0-3+b1	selected
libgbm1	25.0.7-2+deb13u1	selected
libgc1	1:8.2.8-1	selected
libgcc-14-dev	14.2.0-19	selected
libgck-2-2	4.4.0.1-3	selected
libgcr-4-4	4.4.0.1-3	selected
libgd3	2.3.3-14~deb13u1	selected
libgdata-common	0.18.1-9	selected
libgdata22	0.18.1-9	selected
libgee-0.8-2	0.20.8-1	selected
libgegl-0.4-0t64	1:0.4.62-2+deb13u2	selected
libgegl-common	1:0.4.62-2+deb13u2	selected
libgeoclue-2-0	2.7.2-2	selected
libgeocode-glib-2-0	3.26.4-1	selected
libgexiv2-2	0.14.3-1+b1	selected
libgfortran5	14.2.0-19	selected
libgif7	5.2.2-1+deb13u1	selected
libgimp-3.0-0	3.0.4-3+deb13u9	selected
libgirara-gtk3-4	0.4.5-1	selected
libgirepository-1.0-1	1.84.0-1	selected
libgit2-1.9	1.9.0+ds-2	selected
libgl1	1.7.0-1+b2	selected
libgl1-mesa-dri	25.0.7-2+deb13u1	selected
libgles2	1.7.0-1+b2	selected
libglib2.0-bin	2.84.4-3~deb13u3	selected
libglib2.0-data	2.84.4-3~deb13u3	selected
libglibmm-2.4-1t64	2.66.8-1	selected
libglibmm-2.68-1t64	2.84.0-1	selected
libglu1-mesa	9.0.2-1.1+b3	selected
libglvnd0	1.7.0-1+b2	selected
libglx-mesa0	25.0.7-2+deb13u1	selected
